-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.027,  0.181
-183.800, 80.197, 0.027,  0.214
-183.800, 80.196, 0.029,  0.247
-183.799, 80.193, 0.098,  0.280
-183.798, 80.187, 0.176,  0.313
-183.795, 80.178, 0.288,  0.346
-183.790, 80.166, 0.365,  0.379
-183.784, 80.152, 0.423,  0.412
-183.777, 80.137, 0.453,  0.445
-183.769, 80.122, 0.442,  0.478
-183.761, 80.110, 0.397,  0.511
-183.752, 80.098, 0.381,  0.544
-183.743, 80.086, 0.388,  0.577
-183.733, 80.073, 0.429,  0.610
-183.723, 80.059, 0.450,  0.643
-183.709, 80.042, 0.532,  0.676
-183.694, 80.023, 0.605,  0.709
-183.678, 80.003, 0.652,  0.742
-183.660, 79.982, 0.695,  0.775
-183.642, 79.961, 0.698,  0.808
-183.624, 79.940, 0.691,  0.841
-183.605, 79.919, 0.697,  0.874
-183.585, 79.898, 0.728,  0.907
-183.564, 79.875, 0.798,  0.940
-183.540, 79.851, 0.864,  0.973
-183.514, 79.825, 0.916,  1.006
-183.488, 79.799, 0.936,  1.039
-183.461, 79.773, 0.941,  1.072
-183.433, 79.748, 0.949,  1.105
-183.404, 79.723, 0.971,  1.138
-183.374, 79.697, 1.019,  1.171
-183.342, 79.670, 1.062,  1.204
-183.309, 79.642, 1.105,  1.237
-183.276, 79.612, 1.203,  1.270
-183.244, 79.578, 1.311,  1.303
-183.215, 79.539, 1.401,  1.336
-183.188, 79.497, 1.455,  1.369
-183.165, 79.453, 1.477,  1.402
-183.146, 79.409, 1.465,  1.435
-183.130, 79.364, 1.431,  1.468
-183.116, 79.320, 1.403,  1.501
-183.104, 79.275, 1.394,  1.534
-183.095, 79.229, 1.411,  1.567
-183.087, 79.181, 1.459,  1.600
-183.081, 79.130, 1.509,  1.633
-183.078, 79.077, 1.532,  1.666
-183.078, 79.024, 1.523,  1.699
-183.078, 78.970, 1.566,  1.732
